date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations
12/14/2020,217153,2440,25560,109689,1495092,4827
12/15/2020,181275,2037,25812,110996,1946701,47800
12/16/2020,198204,1955,25972,111997,2078178,159997
12/17/2020,198650,2758,25894,112445,2053475,274980
12/18/2020,240266,3389,25950,112114,2022937,420715
12/19/2020,246505,3338,25801,111037,1712286,184067
12/20/2020,235875,2949,26057,112401,1277375,107052
12/21/2020,202289,2727,26431,114649,1529579,386714
12/22/2020,186429,2090,26730,117528,1988864,451024
12/23/2020,183553,2129,26928,118106,2281252,577841
12/24/2020,197759,2891,26714,116274,1892296,197792
12/25/2020,226200,3238,26559,113496,1078263,12810
12/26/2020,202550,3021,26734,115521,994670,143433
12/27/2020,161342,2237,27063,118988,950263,96811
12/28/2020,147119,1650,27519,121425,1310231,597045
12/29/2020,154342,1903,27782,122665,1887954,728796
12/30/2020,176774,2180,27697,123922,2193039,848393
12/31/2020,208904,3351,27748,123347,1925018,426266
1/1/2021,235818,3763,27471,121053,1256463,134428
1/2/2021,229492,3754,27614,122668,1119070,268644
1/3/2021,228546,3049,28006,125595,1052326,141283
1/4/2021,225318,2384,28266,127427,1409827,665063
1/5/2021,205458,2044,28528,128859,1974693,839977
1/6/2021,174314,2029,28608,129800,2340145,1029876
1/7/2021,242441,3496,28491,128814,2262956,1176989
1/8/2021,257750,3855,28365,127888,2153279,1244006
1/9/2021,269765,3978,28187,126420,1720578,512062
1/10/2021,292105,3711,28370,126533,1170635,252835
1/11/2021,256294,3411,28739,127641,1532022,1078066
1/12/2021,224484,2555,28891,127090,2038465,1265195
1/13/2021,204122,2534,28727,126556,2119448,1334115
1/14/2021,217776,3600,28527,133263,2091637,1325007
1/15/2021,226378,4066,28422,123785,2051185,1267807
1/16/2021,223583,3762,28120,121134,1598624,651418
1/17/2021,237318,3384,27891,120830,1077937,302347
1/18/2021,209511,3549,27831,120422,1296443,891201
1/19/2021,186583,2600,27584,119384,1818812,1353012
1/20/2021,154205,2250,26998,117115,2144966,1614044
1/21/2021,150233,2738,26517,114097,2069101,1646576
1/22/2021,188266,3826,26006,111831,1939367,1646011
1/23/2021,187644,3853,25364,108122,1555838,912881
1/24/2021,189419,3679,25121,107004,1009167,403544
1/25/2021,165512,3073,25003,106268,1243609,1383830
1/26/2021,141554,2477,24897,104627,1795052,1669897
1/27/2021,135591,2037,24353,102636,2078955,1937029
1/28/2021,145943,3576,23786,100050,1920156,1969066
1/29/2021,158965,3950,23121,96109,1857729,1923837
1/30/2021,156822,3870,22708,92546,1448747,1021061
1/31/2021,164238,3266,22503,91436,952131,463308
2/1/2021,138823,2827,22230,90582,1038973,1415574
2/2/2021,111938,2291,21767,89004,1641847,1711235
2/3/2021,129043,2229,21403,87279,1880127,2152216
2/4/2021,121330,2947,20872,84602,1940461,2355209
2/5/2021,108669,3280,20354,82137,1840036,2366284
2/6/2021,122620,3127,19863,79111,1339279,1306208
2/7/2021,124827,3399,19377,77864,832015,443124
2/8/2021,110180,2803,19328,76870,1050833,1585757
2/9/2021,92931,1771,18929,75626,1702272,1980623
2/10/2021,80726,1668,18313,72845,1650095,2316746
2/11/2021,91417,2470,17714,70107,1425452,2420044
2/12/2021,98339,2813,17334,67536,1420178,2603441
2/13/2021,99548,3252,16865,64759,1105793,1477459
2/14/2021,97431,5061,16350,63297,666277,591004
2/15/2021,85221,3316,16227,62214,804406,1197630
2/16/2021,67413,1572,15921,61504,1257842,1625080
2/17/2021,58066,1387,15579,62245,1478588,1972982
2/18/2021,56871,1407,15024,58308,1421213,1862122
2/19/2021,63770,2181,14492,56738,1360559,1970205
2/20/2021,68568,2247,14109,54401,1062088,1310520
2/21/2021,73576,2322,13724,53614,685939,601245
2/22/2021,65510,1839,13671,53026,1046296,1468800
2/23/2021,56628,1525,13354,51984,1652105,1945395
2/24/2021,55821,1487,12891,50956,1698083,2534454
2/25/2021,70162,1718,12464,49045,1619506,2944808
2/26/2021,72358,1975,12165,47227,1484532,3120264
2/27/2021,71998,2850,11716,45334,1079056,1994872
2/28/2021,73274,1966,11552,44872,636377,856081
3/1/2021,68298,1634,11362,43721,1001190,2092932
3/2/2021,52570,1026,11040,42650,1619773,2472804
3/3/2021,51114,1323,10744,42153,1747119,2914639
3/4/2021,53761,1128,10556,40175,1561736,3208258
3/5/2021,66043,1896,10323,39581,1439062,3239925
3/6/2021,64859,1515,10029,38206,1069884,2067389
3/7/2021,64094,1924,9848,37769,612397,932973
3/8/2021,57710,1277,9790,37687,983512,2172832
3/9/2021,43758,895,9612,37040,1548198,2722383
3/10/2021,42703,802,9455,36661,1623947,3143737
3/11/2021,54088,1201,9242,35914,1507440,3466821
3/12/2021,61755,1576,9120,35647,1405092,3451059
3/13/2021,59764,1317,8907,34983,1028405,2200934
3/14/2021,64222,1491,8775,34412,580891,985361
3/15/2021,52274,958,8787,34701,954448,2280924
3/16/2021,47230,651,8736,34577,1505118,2892096
3/17/2021,43532,693,8682,34595,1623642,3174664
3/18/2021,51806,853,8521,34104,1480244,3400255
3/19/2021,59588,1075,8422,34035,1349255,3318329
3/20/2021,63099,956,8241,33214,991729,2163431
3/21/2021,62022,1078,8127,33283,615497,1027144
3/22/2021,58456,718,8347,33742,979485,2355606
3/23/2021,45228,553,8379,33996,1535947,3058247
3/24/2021,48228,938,8488,34367,1663481,3552042
3/25/2021,57684,753,8338,34362,1452746,3822737
3/26/2021,68021,1126,8329,34634,1378836,3810632
3/27/2021,65367,981,8201,33946,1001041,2474915
3/28/2021,74834,1042,8359,34464,624619,1211358
3/29/2021,63203,851,8439,35027,1012298,2832722
3/30/2021,53256,618,8572,35418,1536744,3591219
3/31/2021,58014,548,8502,35567,1585780,4170583
4/1/2021,61789,729,8470,35571,1447288,4576209
4/2/2021,69567,948,8466,35607,1347899,3644526
4/3/2021,73685,816,8541,35195,972528,2306786
4/4/2021,70446,842,8606,35675,565221,764902
4/5/2021,63695,708,8849,36624,951736,3101630
4/6/2021,45722,532,9012,37551,1555863,3972976
4/7/2021,56400,362,9024,37748,1670398,4358365
4/8/2021,63657,749,9194,37953,1519384,4501274
4/9/2021,74627,821,9145,37856,1453824,4314525
4/10/2021,75434,867,9130,37546,1012634,2893460
4/11/2021,76415,864,9245,38089,645675,1401780
4/12/2021,68111,740,9452,38927,1057190,3025287
4/13/2021,53239,468,9536,39201,1614442,3483909
4/14/2021,60435,533,9581,39469,1677285,3706936
4/15/2021,72206,751,9476,39188,1486017,3758618
4/16/2021,70654,782,9530,39406,1457318,3613898
4/17/2021,71498,794,9551,39012,1009009,2369352
4/18/2021,71074,807,9632,39460,613233,1136155
4/19/2021,77212,627,9828,40212,1020697,2590971
4/20/2021,49337,499,9918,40206,1571575,3237898
4/21/2021,35281,463,9916,40046,1656011,3490099
4/22/2021,57318,746,9842,39201,1498558,3508472
4/23/2021,63049,767,9705,38562,1412186,3310775
4/24/2021,61479,784,9572,37357,995672,2215031
4/25/2021,62419,835,9546,37133,590769,995791
4/26/2021,51698,654,9759,37540,999611,2400124
4/27/2021,40847,435,9665,37207,1575316,2906413
4/28/2021,30199,467,9535,36881,1581606,3099599
4/29/2021,50313,546,9371,35989,1422330,3061801
4/30/2021,54396,832,9242,35364,1316420,2924073
5/1/2021,55643,753,9105,34005,905273,1870611
5/2/2021,55311,806,9075,33764,523020,882148
5/3/2021,48352,616,9209,33964,897890,1971918
5/4/2021,36593,500,9180,33755,1423827,2509996
5/5/2021,32953,470,8951,33339,1532197,2562841
5/6/2021,42552,674,8833,32505,1311495,2534254
5/7/2021,44541,714,8646,31832,1179260,2521825
5/8/2021,42692,671,8468,30635,853463,1542774
5/9/2021,44641,806,8359,30154,485271,617116
5/10/2021,37021,609,8341,29987,860803,1611707
5/11/2021,27538,408,8298,29482,1337090,2056602
5/12/2021,24383,395,8114,29113,1345783,2025974
5/13/2021,33073,598,7917,28174,1196360,2287565
5/14/2021,35784,679,7628,27422,1087337,2463059
5/15/2021,40435,583,7409,26184,788706,1855320
5/16/2021,35116,701,7270,25646,454576,936450
5/17/2021,29837,442,7299,25563,798919,1831342
5/18/2021,21375,437,7163,25023,1215395,2082624
5/19/2021,19453,362,7056,24925,1181316,2097114
5/20/2021,27639,610,6841,23954,1009421,2028444
5/21/2021,27491,583,6664,23397,986733,2071710
5/22/2021,27948,541,6472,22643,710170,1454898
5/23/2021,27866,649,6412,22445,409150,660195
5/24/2021,22224,409,6419,22431,713161,1328097
5/25/2021,16030,287,6311,22087,1074752,1445875
5/26/2021,14761,555,6138,21598,1051765,1444829
5/27/2021,24571,518,6000,21056,928543,1357095
5/28/2021,23475,517,5778,20398,839535,1341536
5/29/2021,21970,545,5606,19474,580022,770736
5/30/2021,24780,703,5525,19062,360333,386963
5/31/2021,15628,301,5542,18678,316451,204230
6/1/2021,12350,254,5489,18657,709780,1286708
6/2/2021,9408,232,5322,18083,1110518,1125928
6/3/2021,8935,332,5175,17634,989558,1256457
6/4/2021,16048,492,4995,16970,870163,1415716
6/5/2021,18151,478,4768,16298,617069,1079479
6/6/2021,18592,586,4677,15987,368902,520567
6/7/2021,14734,394,4685,15742,644859,1080725
6/8/2021,11084,423,4608,15630,886154,1182368
6/9/2021,9898,322,4478,15262,867847,1173741
6/10/2021,14314,313,4383,14838,785045,1176429
6/11/2021,19640,387,4300,14421,764585,1240276
6/12/2021,15924,382,4186,13940,557593,898429
6/13/2021,13971,403,4049,13957,345635,395581
6/14/2021,12350,208,4068,13929,598005,919604
6/15/2021,8721,152,3939,13722,832178,984740
